fav_cnt,play_cnt,tid,title,uin,encrypt_uin,nick,class
4931,2249638,7280754418,华语| 放肆去爱,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
4603,441111,7280737441,Jazz-Hip Hop| 环游任意门,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
23253,9489107,7280726307,华语 | 暖心民谣,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
59487,30724569,7280526523,粤语经典留声,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
15693,9569981,7280525088,华语| 修复心情,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
14256,2697483,7280523556,轻音乐| 灵感迸发时刻,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
3047,401493,7280517572,Urban厂牌合辑| H1GHR MUSIC,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
2843,380976,7280405611,华语| 迷人嗓音,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
6870,1550137,7280195815,华语| 捕获少女心,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
21917,3035041,7280121846,恋爱粉色系,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
23149,2515099,7280120632,历届奥斯卡最佳原创歌曲,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
6627,987726,7280119357,告白神器,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
4962,765443,7280118051,一箱情愿,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
4904,475668,7280116754,婚礼纯音乐,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
4265,743472,7280115435,结婚进行时,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
9117,1870892,7280084610,华语| 致初恋,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1642,327033,7280083304,华语| 静夜思,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
2411,688492,7279322761,华语| 浪漫时光,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
2041,504452,7279319623,华语流行|面朝大海,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1328,231806,7279318155,华语|舞动人生,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
fav_cnt,play_cnt,tid,title,uin,encrypt_uin,nick,class
1502,266227,7279316738,华语| 和你一起去看海,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1933,252696,7279298499,华语| 梦幻游乐场,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
11775,3998659,7279288437,华语| 拾起回忆,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
2230,287220,7279287028,华语| 城市逃生计划,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
806,233023,7279285642,华语| 百变衣橱,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
876,76222,7279284220,华语| 厨房时间,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
4117,390436,7279282711,欧美摇滚 | 生活有态度,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
12411,1822358,7279281324,法语香颂| 假装在巴黎,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
71099,19688440,7279279812,欧美| 唤醒活力,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
3473,1591220,7279278409,华语| 听说爱情,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
18310,7740109,7279276938,华语| 治愈小调,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
7344,2447336,7279275468,华语| 默写青春,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
4823,572037,7279273975,华语|不规则人生,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
2586,641769,7279258411,轻松华语| 公园一起走,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
4133,721406,7279249914,华语流行|糖果心情,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
2824,284672,7279248498,Urban厂牌合辑| AMBITION MUSIK,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1740,771555,7279247163,华语| 不期而遇,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
15655,1935335,7279245816,欧美| 轻快节拍,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
16071,1642879,7279244455,欧美| 奔放节奏,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
13444,4857134,7279243112,中国民歌大会,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
483,88422,7279241653,快乐女声,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
537,76765,7279240227,快乐男声,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
3588,647109,7279238852,这！就是歌唱·对唱季,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1994,387135,7279237529,华语流行|勇攀高峰,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1435,78813,7279236103,幻乐之城,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
2803,581776,7279234737,中国之星,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
4058,361340,7279233446,潮音战纪,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
21548,1858884,7279232151,国风美少年,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
